map,method,all_med,bad_med,bnd_med,gross_pct
63,noisy (no filter),0.523308,42.214356,0.568209,4.9377
63,unet,0.070351,1.226719,0.096087,0.4944
64,noisy (no filter),0.528536,41.393683,0.570817,4.9744
64,unet,0.071982,1.244247,0.095152,0.5127
65,noisy (no filter),0.528160,42.665231,0.561520,4.9438
65,unet,0.075005,1.170839,0.097236,0.3723
66,noisy (no filter),0.529826,42.937077,0.563848,4.9561
66,unet,0.075486,1.218579,0.096785,0.4272
67,noisy (no filter),0.521398,41.068132,0.576611,4.9805
67,unet,0.068424,1.351614,0.089373,0.4333
68,noisy (no filter),0.527834,43.073107,0.558385,4.9622
68,unet,0.069642,1.102145,0.092661,0.4028
69,noisy (no filter),0.526026,41.717063,0.568918,4.9622
69,unet,0.070271,1.345687,0.091974,0.5127
70,noisy (no filter),0.527209,41.858931,0.584101,4.9316
70,unet,0.070268,1.026525,0.092343,0.3662
71,noisy (no filter),0.524725,41.650684,0.556803,4.9561
71,unet,0.070139,1.321531,0.092730,0.4944
72,noisy (no filter),0.520639,41.987418,0.553987,4.9622
72,unet,0.068448,1.288597,0.090368,0.5249
73,noisy (no filter),0.528945,42.360333,0.575748,4.9805
73,unet,0.072301,1.069342,0.092336,0.4761
74,noisy (no filter),0.530863,41.220398,0.580409,4.9805
74,unet,0.068678,1.079970,0.091583,0.4028
75,noisy (no filter),0.530820,42.905335,0.577047,4.9805
75,unet,0.070080,1.069346,0.096025,0.4089
76,noisy (no filter),0.526530,41.610802,0.598205,4.9866
76,unet,0.070162,1.056298,0.093029,0.3601
77,noisy (no filter),0.527357,41.901017,0.566321,4.9500
77,unet,0.069926,1.338021,0.091575,0.5066
78,noisy (no filter),0.527150,42.646812,0.588913,4.9683
78,unet,0.071173,1.242067,0.093226,0.4150
79,noisy (no filter),0.525657,42.631040,0.565893,4.9438
79,unet,0.069349,1.218821,0.090435,0.5127
80,noisy (no filter),0.526403,41.717656,0.578487,4.9133
80,unet,0.069154,1.162266,0.090542,0.5005
81,noisy (no filter),0.531626,41.672412,0.579268,4.9622
81,unet,0.070737,1.254676,0.090064,0.6897
82,noisy (no filter),0.520722,42.284376,0.587363,4.9683
82,unet,0.067807,1.216848,0.092966,0.4089
83,noisy (no filter),0.522239,42.314230,0.583126,4.9744
83,unet,0.073129,1.099772,0.095186,0.4150
84,noisy (no filter),0.530473,42.191941,0.585532,4.9377
84,unet,0.070093,1.069325,0.092204,0.4456
85,noisy (no filter),0.534359,42.365726,0.579292,4.9622
85,unet,0.068637,1.386927,0.090343,0.5432
86,noisy (no filter),0.536288,42.800864,0.577067,4.9683
86,unet,0.069583,1.151553,0.090560,0.5615
87,noisy (no filter),0.524798,41.599954,0.550852,4.9561
87,unet,0.071989,1.078898,0.092600,0.4761
88,noisy (no filter),0.527158,41.816128,0.582370,4.9683
88,unet,0.070486,1.114362,0.097188,0.4395
89,noisy (no filter),0.526714,42.339613,0.602333,4.9744
89,unet,0.070219,1.228356,0.094191,0.5859
90,noisy (no filter),0.532939,42.968898,0.595803,4.9500
90,unet,0.069209,1.331576,0.092837,0.6042
91,noisy (no filter),0.527998,42.123709,0.569553,4.9622
91,unet,0.072170,0.988852,0.095070,0.3723
92,noisy (no filter),0.521387,43.035564,0.569123,4.9866
92,unet,0.069096,1.132708,0.096683,0.4944
93,noisy (no filter),0.523813,42.002973,0.578707,4.9561
93,unet,0.071540,1.386746,0.094475,0.5615
94,noisy (no filter),0.529296,42.130708,0.559064,4.9255
94,unet,0.070174,1.207521,0.090105,0.3906
95,noisy (no filter),0.526807,42.681828,0.568922,4.9561
95,unet,0.069874,1.120892,0.088491,0.3723
96,noisy (no filter),0.524039,42.437701,0.563456,4.9500
96,unet,0.071918,1.243877,0.095943,0.4272
97,noisy (no filter),0.525110,42.514048,0.555281,4.9744
97,unet,0.069343,1.044325,0.095256,0.4761
98,noisy (no filter),0.523396,42.741800,0.565462,4.9500
98,unet,0.072558,1.200615,0.090553,0.3723
99,noisy (no filter),0.523566,42.368028,0.581538,4.9866
99,unet,0.072440,1.379584,0.097488,0.5859
100,noisy (no filter),0.526976,41.845659,0.571026,4.9683
100,unet,0.068082,1.197976,0.091362,0.4028
101,noisy (no filter),0.526233,42.514376,0.575516,4.9438
101,unet,0.068942,1.348310,0.093183,0.5127
102,noisy (no filter),0.522334,42.435082,0.577770,4.9622
102,unet,0.068571,0.957073,0.091086,0.3723
103,noisy (no filter),0.525916,42.215076,0.564437,4.9805
103,unet,0.068408,1.118583,0.092078,0.4883
104,noisy (no filter),0.521990,42.375484,0.560695,4.9377
104,unet,0.070933,1.357624,0.091605,0.4272
105,noisy (no filter),0.529555,41.560362,0.581755,4.9805
105,unet,0.070291,1.203273,0.093243,0.4028
106,noisy (no filter),0.529265,41.871590,0.578916,4.9377
106,unet,0.069985,1.122954,0.092583,0.3906
107,noisy (no filter),0.519072,41.772044,0.565843,4.9622
107,unet,0.068844,1.087687,0.093821,0.4639
108,noisy (no filter),0.517710,43.548482,0.569897,4.9744
108,unet,0.069818,1.198294,0.089301,0.4944
109,noisy (no filter),0.531610,41.736075,0.577782,4.9377
109,unet,0.069333,1.046122,0.091356,0.4456
110,noisy (no filter),0.530163,42.166385,0.590749,4.9744
110,unet,0.069941,1.143010,0.094269,0.4639
111,noisy (no filter),0.532932,42.364194,0.591102,4.9438
111,unet,0.069392,1.078172,0.091740,0.4456
112,noisy (no filter),0.531335,42.479785,0.583087,4.9744
112,unet,0.072147,1.221814,0.091860,0.5554
113,noisy (no filter),0.519299,42.712294,0.565646,4.9561
113,unet,0.071894,1.237881,0.094011,0.5798
114,noisy (no filter),0.531657,42.154315,0.572462,4.9622
114,unet,0.071752,1.159910,0.096043,0.4700
115,noisy (no filter),0.528517,42.143631,0.571824,4.9622
115,unet,0.068684,0.987714,0.091596,0.3845
116,noisy (no filter),0.524075,41.325498,0.587177,4.9438
116,unet,0.070592,1.554609,0.095063,0.5798
117,noisy (no filter),0.525351,42.067179,0.569825,4.9866
117,unet,0.070109,1.022341,0.095157,0.4150
118,noisy (no filter),0.523291,41.793340,0.580324,4.9438
118,unet,0.070756,1.223754,0.091450,0.5249
119,noisy (no filter),0.527771,42.425771,0.571229,4.9561
119,unet,0.070394,1.231148,0.093499,0.4211
120,noisy (no filter),0.529983,42.156216,0.572791,4.9683
120,unet,0.069140,1.174184,0.092712,0.4761
121,noisy (no filter),0.517961,41.947218,0.571220,4.9561
121,unet,0.069500,1.233472,0.090416,0.5615
122,noisy (no filter),0.520474,41.722695,0.588049,4.9683
122,unet,0.071147,1.160502,0.092630,0.5615
123,noisy (no filter),0.523971,42.298871,0.559380,4.9500
123,unet,0.073242,1.288424,0.093925,0.5493
124,noisy (no filter),0.528267,42.432067,0.566387,4.9377
124,unet,0.069356,1.121337,0.094595,0.4456
125,noisy (no filter),0.525875,42.888065,0.554495,4.9805
125,unet,0.072309,1.127433,0.094473,0.5127
126,noisy (no filter),0.531157,41.698079,0.578074,4.9561
126,unet,0.068700,1.239262,0.087581,0.4639
127,noisy (no filter),0.525925,42.825996,0.585619,4.9561
127,unet,0.071925,1.287845,0.095773,0.4883
128,noisy (no filter),0.522895,42.152866,0.572389,4.9500
128,unet,0.070147,1.199257,0.092867,0.5066
129,noisy (no filter),0.528194,42.455476,0.565554,4.9500
129,unet,0.072703,1.107405,0.096763,0.3723
130,noisy (no filter),0.518341,41.639137,0.557744,4.9622
130,unet,0.069965,1.270655,0.092778,0.5676
131,noisy (no filter),0.526936,42.603816,0.568370,4.9561
131,unet,0.068458,1.450934,0.091746,0.6287
132,noisy (no filter),0.525530,40.774948,0.586597,4.9500
132,unet,0.068965,1.255493,0.090824,0.4211
133,noisy (no filter),0.524848,42.350135,0.593122,4.9805
133,unet,0.069476,1.082910,0.093377,0.3906
134,noisy (no filter),0.532237,43.150141,0.584293,4.9866
134,unet,0.068531,1.409694,0.092881,0.4272
135,noisy (no filter),0.534189,42.692332,0.571642,4.9500
135,unet,0.070446,1.019511,0.093038,0.4395
136,noisy (no filter),0.525029,42.308179,0.575334,4.9683
136,unet,0.070346,1.277180,0.091145,0.5249
137,noisy (no filter),0.523256,42.166253,0.583328,4.9500
137,unet,0.071404,1.187512,0.094906,0.5798
138,noisy (no filter),0.529874,42.971568,0.576270,4.9561
138,unet,0.069294,1.226337,0.091800,0.4944
139,noisy (no filter),0.519424,42.550608,0.568905,4.9622
139,unet,0.069345,1.289367,0.092462,0.6958
